START DATE,START TIME,SUBJECT,LOCATION,END DATE,END TIME,END TIME ET,REMINDER ON/OFF,REMINDER DATE,REMINDER TIME,REMINDER TIME ET
9/7/13,TBD,Stanford Football vs. San Jose State,"Stanford, CA",9/7/13,TBD,TBD,TRUE,,TBD,TBD
9/14/13,TBD,Stanford Football at. Army,"West Point, NY",9/14/13,TBD,TBD,TRUE,,TBD,TBD
9/21/13,TBD,Stanford Football vs. Arizona State,"Stanford, CA",9/21/13,TBD,TBD,TRUE,,TBD,TBD
9/28/13,TBD,Stanford Football at Washington State,"Seattle, WA (CenturyLink Field)",9/28/13,TBD,TBD,TRUE,,TBD,TBD
10/5/13,TBD,Stanford Football vs. Washington,"Stanford, CA",10/5/13,TBD,TBD,TRUE,,TBD,TBD
10/12/13,TBD,Stanford Football at Utah,"Salt Lake City, UT",10/12/13,TBD,TBD,TRUE,,TBD,TBD
10/19/13,TBD,Stanford Football vs. UCLA,"Stanford, CA",10/19/13,TBD,TBD,TRUE,,TBD,TBD
10/26/13,TBD,Stanford Football at Oregon State ,"Corvallis, OR",10/26/13,TBD,TBD,TRUE,,TBD,TBD
11/7/13,TBD,Stanford Football vs. Oregon,"Stanford, CA",11/7/13,TBD,TBD,TRUE,,TBD,TBD
11/16/13,TBD,Stanford Football at. USC,"Los Angeles, CA",11/16/13,TBD,TBD,TRUE,,TBD,TBD
11/23/13,TBD,Stanford Football vs. California,"Stanford, CA",11/23/13,TBD,TBD,TRUE,,TBD,TBD
11/30/13,TBD,Stanford Football vs. Notre Dame,"Stanford, CA",11/30/13,TBD,TBD,TRUE,,TBD,TBD
12/7/13,TBD,Stanford Football Pac-12 Championship,TBD,12/7/13,TBD,TBD,TRUE,,TBD,TBD
